Pos.x [m];Pos.y [m];Pos.z [m];PartOut;Motive;Idp;Vel.x [m/s];Vel.y [m/s];Vel.z [m/s];Rhop [kg/m^3];
  2.3944442E-01;  5.1945066E-01; -2.1001538E-02;119;1;378517;  5.9722161E-01;  1.1937864E+00; -7.5829595E-02;  9.9557959E+02;
  6.0096890E-01;  6.6680962E-01; -2.1001374E-02;120;1;404324;  1.6001347E-01; -2.3752806E-01; -5.8276217E-02;  9.9985730E+02;
  6.0114384E-01;  6.6560388E-01; -2.1001870E-02;120;1;409781;  2.1325174E-01; -2.3688656E-01; -6.1515875E-02;  9.9983185E+02;
  6.0138667E-01;  6.6545564E-01; -2.1000460E-02;120;1;404325;  1.9116701E-01; -2.9042342E-01; -6.5014176E-02;  9.9985077E+02;
  6.0190582E-01;  6.6520441E-01; -2.1000845E-02;120;1;409782;  1.7978002E-01; -3.2373777E-01; -6.6341273E-02;  9.9989673E+02;
  6.7845896E-02;  6.4371234E-01; -2.1000128E-02;120;1;421236;  4.3105748E-02; -4.6551853E-01; -2.6543802E-01;  9.9871234E+02;
  7.0392042E-02;  6.3984001E-01; -2.1009659E-02;120;1;388633; -4.8363933E-01; -6.3962030E-01; -3.7416795E-01;  9.9855298E+02;
  7.1030080E-02;  6.2628686E-01; -2.1007787E-02;120;1;404988; -6.6630262E-01;  6.3197333E-01; -3.8556907E-01;  9.9970502E+02;
  7.3542163E-02;  6.3042557E-01; -2.1005524E-02;120;1;388628; -6.1011302E-01;  3.3036172E-01; -3.6388442E-01;  9.9968750E+02;
  7.1088426E-02;  6.4140606E-01; -2.1005450E-02;121;1;421232; -2.0033561E-01; -6.8714911E-01; -3.8337958E-01;  9.9563672E+02;
  6.7797139E-02;  6.2483937E-01; -2.1002907E-02;121;1;420800; -5.6250221E-01;  7.7984971E-01; -3.8624117E-01;  9.9649158E+02;
  6.7592569E-02;  1.0210016E+00;  1.1937931E-01;121;1;405844;  5.9120864E-02;  1.0200194E-01;  4.6524704E-02;  9.9917346E+02;
  7.1107030E-02;  1.0210022E+00;  1.2050862E-01;121;1;394821; -3.2069262E-02;  1.1709263E-01;  2.0676680E-01;  9.9903131E+02;
  6.9883034E-02;  1.0210012E+00;  1.1881339E-01;121;1;389700; -1.2948936E-01;  5.2456874E-02; -5.9378408E-02;  9.9908655E+02;
  7.1238458E-02;  1.0210019E+00;  1.2402394E-01;121;1;411188;  1.5884990E-01;  7.5987361E-02;  1.7307391E-02;  9.9888306E+02;
  7.1652897E-02;  6.2812614E-01; -2.1002879E-02;121;1;426519; -1.5925016E+00;  3.4373602E-01; -3.1145453E-01;  9.9749896E+02;
  7.2412170E-02;  1.0210010E+00;  1.2511839E-01;121;1;416701; -1.1327918E+00;  1.6570321E-01; -8.6083874E-02;  9.9492529E+02;
  6.0148448E-01;  6.5847814E-01; -2.1003902E-02;121;1;473874;  2.4746843E-01; -2.0399225E-01; -1.5532623E-01;  9.9967462E+02;
  6.9569722E-02;  1.0210017E+00;  1.2688023E-01;122;1;384285;  6.5024160E-02;  8.8946886E-02;  1.7539002E-01;  9.9993677E+02;
  6.5690935E-02;  6.4091539E-01; -2.1000007E-02;122;1;426580; -1.6086215E-01; -4.8500976E-01; -2.0642957E-01;  9.9904071E+02;
  2.6663896E-01;  5.4762620E-01; -2.1003714E-02;122;1;383501;  1.0920027E+00;  4.0171072E-01; -1.7448075E-01;  9.9791827E+02;
  2.6685303E-01;  5.4736722E-01; -2.1002645E-02;122;1;372704;  1.0389311E+00;  4.8618871E-01; -1.8728089E-01;  9.9778680E+02;
  4.7041154E-01;  3.2174376E-01; -2.1001728E-02;123;1;434944;  6.5722632E-01; -6.3509500E-01; -9.8349899E-02;  9.9914929E+02;
  4.7435069E-01;  3.2318467E-01; -2.1003256E-02;123;1;419278;  6.2329736E-02; -7.6235992E-01; -1.9592519E-01;  9.9849591E+02;
  7.8039572E-02;  3.8869017E-01; -2.1000525E-02;123;1;376021; -1.1197196E-01; -8.6382955E-02; -7.0513330E-02;  9.9869019E+02;
  4.7387564E-01;  3.1884566E-01; -2.1000361E-02;123;1;403131;  8.5271496E-01; -7.1598369E-01; -3.5634857E-02;  9.9878510E+02;
  7.0083380E-01;  2.3088767E-01; -2.1001581E-02;123;1;419067;  1.6597125E-01;  1.5375447E-01; -8.5498512E-02;  9.9957996E+02;
  3.4135637E-01;  3.5340786E-01; -2.1005739E-02;123;1;397890;  7.7865696E-01;  1.8787663E-01; -1.7620414E-01;  9.9837604E+02;
  3.3834222E-01;  3.5179630E-01; -2.1002347E-02;123;1;380882;  1.5065640E+00; -9.1923401E-02; -2.2841758E-01;  9.9835303E+02;
  3.3824047E-01;  3.5173744E-01; -2.1006504E-02;123;1;375429;  1.5595692E+00; -8.1460394E-02; -2.3532122E-01;  9.9802362E+02;
  3.4010252E-01;  3.5331398E-01; -2.1005653E-02;123;1;381177;  1.4863033E+00; -8.5280620E-02; -1.9259618E-01;  9.9792938E+02;
  3.4473705E-01;  3.5217887E-01; -2.1002224E-02;123;1;413825;  6.2835133E-01;  1.9193408E-01; -9.0785883E-02;  9.9580585E+02;
  6.9935995E-01;  2.3177119E-01; -2.1003481E-02;124;1;451089;  1.9747604E-01;  3.2993969E-02; -1.3289165E-01;  9.9946301E+02;
  6.1407453E-01;  3.3445993E-01; -2.1008192E-02;124;1;370839;  9.4660717E-01; -6.6614699E-01; -5.9601146E-01;  9.9821198E+02;
  7.0146948E-01;  2.3134518E-01; -2.1002671E-02;124;1;413712;  1.3518636E-01;  2.9862905E-02; -1.0315001E-01;  9.9920673E+02;
  8.0256397E-01;  2.3041725E-01; -2.1003079E-02;124;1;377875;  5.2562341E-02;  4.3411022E-01; -1.1930790E-01;  9.9946600E+02;
